intensity,laneId,dateObserved,location/coordinates/0,location/coordinates/1,location/type,id,type,vehicleType,reversedLane
153,105575465,2020-08-12T00:00:00/2020-08-13T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202008120000,TrafficFlowObserved,bicycle,False
148,105575465,2020-08-13T00:00:00/2020-08-14T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202008130000,TrafficFlowObserved,bicycle,False
161,105575465,2020-08-14T00:00:00/2020-08-15T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202008140000,TrafficFlowObserved,bicycle,False
95,105575465,2020-08-15T00:00:00/2020-08-16T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202008150000,TrafficFlowObserved,bicycle,False
101,105575465,2020-08-16T00:00:00/2020-08-17T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202008160000,TrafficFlowObserved,bicycle,False
147,105575465,2020-08-17T00:00:00/2020-08-18T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202008170000,TrafficFlowObserved,bicycle,False
166,105575465,2020-08-18T00:00:00/2020-08-19T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202008180000,TrafficFlowObserved,bicycle,False
167,105575465,2020-08-19T00:00:00/2020-08-20T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202008190000,TrafficFlowObserved,bicycle,False
62,105575465,2020-08-20T00:00:00/2020-08-21T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202008200000,TrafficFlowObserved,bicycle,False
46,105575465,2020-08-21T00:00:00/2020-08-22T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202008210000,TrafficFlowObserved,bicycle,False
42,105575465,2020-08-22T00:00:00/2020-08-23T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202008220000,TrafficFlowObserved,bicycle,False
44,105575465,2020-08-23T00:00:00/2020-08-24T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202008230000,TrafficFlowObserved,bicycle,False
65,105575465,2020-08-24T00:00:00/2020-08-25T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202008240000,TrafficFlowObserved,bicycle,False
68,105575465,2020-08-25T00:00:00/2020-08-26T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202008250000,TrafficFlowObserved,bicycle,False
78,105575465,2020-08-26T00:00:00/2020-08-27T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202008260000,TrafficFlowObserved,bicycle,False
85,105575465,2020-08-27T00:00:00/2020-08-28T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202008270000,TrafficFlowObserved,bicycle,False
54,105575465,2020-08-28T00:00:00/2020-08-29T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202008280000,TrafficFlowObserved,bicycle,False
49,105575465,2020-08-29T00:00:00/2020-08-30T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202008290000,TrafficFlowObserved,bicycle,False
58,105575465,2020-08-30T00:00:00/2020-08-31T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202008300000,TrafficFlowObserved,bicycle,False
82,105575465,2020-08-31T00:00:00/2020-09-01T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202008310000,TrafficFlowObserved,bicycle,False
98,105575465,2020-09-01T00:00:00/2020-09-02T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202009010000,TrafficFlowObserved,bicycle,False
80,105575465,2020-09-02T00:00:00/2020-09-03T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202009020000,TrafficFlowObserved,bicycle,False
82,105575465,2020-09-03T00:00:00/2020-09-04T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202009030000,TrafficFlowObserved,bicycle,False
79,105575465,2020-09-04T00:00:00/2020-09-05T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202009040000,TrafficFlowObserved,bicycle,False
57,105575465,2020-09-05T00:00:00/2020-09-06T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202009050000,TrafficFlowObserved,bicycle,False
56,105575465,2020-09-06T00:00:00/2020-09-07T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202009060000,TrafficFlowObserved,bicycle,False
88,105575465,2020-09-07T00:00:00/2020-09-08T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202009070000,TrafficFlowObserved,bicycle,False
103,105575465,2020-09-08T00:00:00/2020-09-09T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202009080000,TrafficFlowObserved,bicycle,False
