intensity,laneId,dateObserved,location/coordinates/0,location/coordinates/1,location/type,id,type,vehicleType,reversedLane
761,734202564,2020-06-19T00:00:00/2020-06-20T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202006190000,TrafficFlowObserved,bicycle,false
494,734202564,2020-06-20T00:00:00/2020-06-21T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202006200000,TrafficFlowObserved,bicycle,false
457,734202564,2020-06-21T00:00:00/2020-06-22T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202006210000,TrafficFlowObserved,bicycle,false
720,734202564,2020-06-22T00:00:00/2020-06-23T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202006220000,TrafficFlowObserved,bicycle,false
818,734202564,2020-06-23T00:00:00/2020-06-24T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202006230000,TrafficFlowObserved,bicycle,false
798,734202564,2020-06-24T00:00:00/2020-06-25T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202006240000,TrafficFlowObserved,bicycle,false
786,734202564,2020-06-25T00:00:00/2020-06-26T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202006250000,TrafficFlowObserved,bicycle,false
742,734202564,2020-06-26T00:00:00/2020-06-27T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202006260000,TrafficFlowObserved,bicycle,false
404,734202564,2020-06-27T00:00:00/2020-06-28T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202006270000,TrafficFlowObserved,bicycle,false
381,734202564,2020-06-28T00:00:00/2020-06-29T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202006280000,TrafficFlowObserved,bicycle,false
745,734202564,2020-06-29T00:00:00/2020-06-30T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202006290000,TrafficFlowObserved,bicycle,false
805,734202564,2020-06-30T00:00:00/2020-07-01T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202006300000,TrafficFlowObserved,bicycle,false
645,734202564,2020-07-01T00:00:00/2020-07-02T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202007010000,TrafficFlowObserved,bicycle,false
736,734202564,2020-07-02T00:00:00/2020-07-03T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202007020000,TrafficFlowObserved,bicycle,false
741,734202564,2020-07-03T00:00:00/2020-07-04T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202007030000,TrafficFlowObserved,bicycle,false
440,734202564,2020-07-04T00:00:00/2020-07-05T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202007040000,TrafficFlowObserved,bicycle,false
419,734202564,2020-07-05T00:00:00/2020-07-06T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202007050000,TrafficFlowObserved,bicycle,false
657,734202564,2020-07-06T00:00:00/2020-07-07T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202007060000,TrafficFlowObserved,bicycle,false
844,734202564,2020-07-07T00:00:00/2020-07-08T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202007070000,TrafficFlowObserved,bicycle,false
754,734202564,2020-07-08T00:00:00/2020-07-09T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202007080000,TrafficFlowObserved,bicycle,false
754,734202564,2020-07-09T00:00:00/2020-07-10T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202007090000,TrafficFlowObserved,bicycle,false
716,734202564,2020-07-10T00:00:00/2020-07-11T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202007100000,TrafficFlowObserved,bicycle,false
371,734202564,2020-07-11T00:00:00/2020-07-12T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202007110000,TrafficFlowObserved,bicycle,false
357,734202564,2020-07-12T00:00:00/2020-07-13T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202007120000,TrafficFlowObserved,bicycle,false
509,734202564,2020-07-13T00:00:00/2020-07-14T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202007130000,TrafficFlowObserved,bicycle,false
420,734202564,2020-07-14T00:00:00/2020-07-15T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202007140000,TrafficFlowObserved,bicycle,false
656,734202564,2020-07-15T00:00:00/2020-07-16T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202007150000,TrafficFlowObserved,bicycle,false
673,734202564,2020-07-16T00:00:00/2020-07-17T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202007160000,TrafficFlowObserved,bicycle,false
674,734202564,2020-07-17T00:00:00/2020-07-18T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202007170000,TrafficFlowObserved,bicycle,false
431,734202564,2020-07-18T00:00:00/2020-07-19T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202007180000,TrafficFlowObserved,bicycle,false
436,734202564,2020-07-19T00:00:00/2020-07-20T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202007190000,TrafficFlowObserved,bicycle,false
725,734202564,2020-07-20T00:00:00/2020-07-21T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202007200000,TrafficFlowObserved,bicycle,false
707,734202564,2020-07-21T00:00:00/2020-07-22T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202007210000,TrafficFlowObserved,bicycle,false
670,734202564,2020-07-22T00:00:00/2020-07-23T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202007220000,TrafficFlowObserved,bicycle,false
672,734202564,2020-07-23T00:00:00/2020-07-24T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202007230000,TrafficFlowObserved,bicycle,false
686,734202564,2020-07-24T00:00:00/2020-07-25T00:00:00,3.8336,43.61465,Point,MMM_EcoCompt_X2H20042633_202007240000,TrafficFlowObserved,bicycle,false
