intensity,laneId,dateObserved,location/coordinates/0,location/coordinates/1,location/type,id,type,vehicleType,reversedLane
2,676645909,2020-07-07T00:00:00/2020-07-08T00:00:00,3.9096322,43.6157418,Point,MMM_EcoCompt_X2H20063161_202007070000,TrafficFlowObserved,bicycle,false
359,676645909,2020-07-08T00:00:00/2020-07-09T00:00:00,3.9096322,43.6157418,Point,MMM_EcoCompt_X2H20063161_202007080000,TrafficFlowObserved,bicycle,false
357,676645909,2020-07-09T00:00:00/2020-07-10T00:00:00,3.9096322,43.6157418,Point,MMM_EcoCompt_X2H20063161_202007090000,TrafficFlowObserved,bicycle,false
247,676645909,2020-07-10T00:00:00/2020-07-11T00:00:00,3.9096322,43.6157418,Point,MMM_EcoCompt_X2H20063161_202007100000,TrafficFlowObserved,bicycle,false
82,676645909,2020-07-11T00:00:00/2020-07-12T00:00:00,3.9096322,43.6157418,Point,MMM_EcoCompt_X2H20063161_202007110000,TrafficFlowObserved,bicycle,false
73,676645909,2020-07-12T00:00:00/2020-07-13T00:00:00,3.9096322,43.6157418,Point,MMM_EcoCompt_X2H20063161_202007120000,TrafficFlowObserved,bicycle,false
151,676645909,2020-07-13T00:00:00/2020-07-14T00:00:00,3.9096322,43.6157418,Point,MMM_EcoCompt_X2H20063161_202007130000,TrafficFlowObserved,bicycle,false
92,676645909,2020-07-14T00:00:00/2020-07-15T00:00:00,3.9096322,43.6157418,Point,MMM_EcoCompt_X2H20063161_202007140000,TrafficFlowObserved,bicycle,false
294,676645909,2020-07-15T00:00:00/2020-07-16T00:00:00,3.9096322,43.6157418,Point,MMM_EcoCompt_X2H20063161_202007150000,TrafficFlowObserved,bicycle,false
298,676645909,2020-07-16T00:00:00/2020-07-17T00:00:00,3.9096322,43.6157418,Point,MMM_EcoCompt_X2H20063161_202007160000,TrafficFlowObserved,bicycle,false
261,676645909,2020-07-17T00:00:00/2020-07-18T00:00:00,3.9096322,43.6157418,Point,MMM_EcoCompt_X2H20063161_202007170000,TrafficFlowObserved,bicycle,false
80,676645909,2020-07-18T00:00:00/2020-07-19T00:00:00,3.9096322,43.6157418,Point,MMM_EcoCompt_X2H20063161_202007180000,TrafficFlowObserved,bicycle,false
88,676645909,2020-07-19T00:00:00/2020-07-20T00:00:00,3.9096322,43.6157418,Point,MMM_EcoCompt_X2H20063161_202007190000,TrafficFlowObserved,bicycle,false
314,676645909,2020-07-20T00:00:00/2020-07-21T00:00:00,3.9096322,43.6157418,Point,MMM_EcoCompt_X2H20063161_202007200000,TrafficFlowObserved,bicycle,false
402,676645909,2020-07-21T00:00:00/2020-07-22T00:00:00,3.9096322,43.6157418,Point,MMM_EcoCompt_X2H20063161_202007210000,TrafficFlowObserved,bicycle,false
346,676645909,2020-07-22T00:00:00/2020-07-23T00:00:00,3.9096322,43.6157418,Point,MMM_EcoCompt_X2H20063161_202007220000,TrafficFlowObserved,bicycle,false
327,676645909,2020-07-23T00:00:00/2020-07-24T00:00:00,3.9096322,43.6157418,Point,MMM_EcoCompt_X2H20063161_202007230000,TrafficFlowObserved,bicycle,false
