intensity,laneId,dateObserved,location/coordinates/0,location/coordinates/1,location/type,id,type,vehicleType,reversedLane
257,97705885,2020-06-19T00:00:00/2020-06-20T00:00:00,3.81324,43.5907,Point,MMM_EcoCompt_X2H20042632_202006190000,TrafficFlowObserved,bicycle,false
262,97705885,2020-06-20T00:00:00/2020-06-21T00:00:00,3.81324,43.5907,Point,MMM_EcoCompt_X2H20042632_202006200000,TrafficFlowObserved,bicycle,false
457,97705885,2020-06-21T00:00:00/2020-06-22T00:00:00,3.81324,43.5907,Point,MMM_EcoCompt_X2H20042632_202006210000,TrafficFlowObserved,bicycle,false
240,97705885,2020-06-22T00:00:00/2020-06-23T00:00:00,3.81324,43.5907,Point,MMM_EcoCompt_X2H20042632_202006220000,TrafficFlowObserved,bicycle,false
370,97705885,2020-06-23T00:00:00/2020-06-24T00:00:00,3.81324,43.5907,Point,MMM_EcoCompt_X2H20042632_202006230000,TrafficFlowObserved,bicycle,false
317,97705885,2020-06-24T00:00:00/2020-06-25T00:00:00,3.81324,43.5907,Point,MMM_EcoCompt_X2H20042632_202006240000,TrafficFlowObserved,bicycle,false
348,97705885,2020-06-25T00:00:00/2020-06-26T00:00:00,3.81324,43.5907,Point,MMM_EcoCompt_X2H20042632_202006250000,TrafficFlowObserved,bicycle,false
266,97705885,2020-06-26T00:00:00/2020-06-27T00:00:00,3.81324,43.5907,Point,MMM_EcoCompt_X2H20042632_202006260000,TrafficFlowObserved,bicycle,false
213,97705885,2020-06-27T00:00:00/2020-06-28T00:00:00,3.81324,43.5907,Point,MMM_EcoCompt_X2H20042632_202006270000,TrafficFlowObserved,bicycle,false
342,97705885,2020-06-28T00:00:00/2020-06-29T00:00:00,3.81324,43.5907,Point,MMM_EcoCompt_X2H20042632_202006280000,TrafficFlowObserved,bicycle,false
234,97705885,2020-06-29T00:00:00/2020-06-30T00:00:00,3.81324,43.5907,Point,MMM_EcoCompt_X2H20042632_202006290000,TrafficFlowObserved,bicycle,false
371,97705885,2020-06-30T00:00:00/2020-07-01T00:00:00,3.81324,43.5907,Point,MMM_EcoCompt_X2H20042632_202006300000,TrafficFlowObserved,bicycle,false
213,97705885,2020-07-01T00:00:00/2020-07-02T00:00:00,3.81324,43.5907,Point,MMM_EcoCompt_X2H20042632_202007010000,TrafficFlowObserved,bicycle,false
335,97705885,2020-07-02T00:00:00/2020-07-03T00:00:00,3.81324,43.5907,Point,MMM_EcoCompt_X2H20042632_202007020000,TrafficFlowObserved,bicycle,false
191,97705885,2020-07-03T00:00:00/2020-07-04T00:00:00,3.81324,43.5907,Point,MMM_EcoCompt_X2H20042632_202007030000,TrafficFlowObserved,bicycle,false
234,97705885,2020-07-04T00:00:00/2020-07-05T00:00:00,3.81324,43.5907,Point,MMM_EcoCompt_X2H20042632_202007040000,TrafficFlowObserved,bicycle,false
367,97705885,2020-07-05T00:00:00/2020-07-06T00:00:00,3.81324,43.5907,Point,MMM_EcoCompt_X2H20042632_202007050000,TrafficFlowObserved,bicycle,false
178,97705885,2020-07-06T00:00:00/2020-07-07T00:00:00,3.81324,43.5907,Point,MMM_EcoCompt_X2H20042632_202007060000,TrafficFlowObserved,bicycle,false
315,97705885,2020-07-07T00:00:00/2020-07-08T00:00:00,3.81324,43.5907,Point,MMM_EcoCompt_X2H20042632_202007070000,TrafficFlowObserved,bicycle,false
288,97705885,2020-07-08T00:00:00/2020-07-09T00:00:00,3.81324,43.5907,Point,MMM_EcoCompt_X2H20042632_202007080000,TrafficFlowObserved,bicycle,false
271,97705885,2020-07-09T00:00:00/2020-07-10T00:00:00,3.81324,43.5907,Point,MMM_EcoCompt_X2H20042632_202007090000,TrafficFlowObserved,bicycle,false
228,97705885,2020-07-10T00:00:00/2020-07-11T00:00:00,3.81324,43.5907,Point,MMM_EcoCompt_X2H20042632_202007100000,TrafficFlowObserved,bicycle,false
200,97705885,2020-07-11T00:00:00/2020-07-12T00:00:00,3.81324,43.5907,Point,MMM_EcoCompt_X2H20042632_202007110000,TrafficFlowObserved,bicycle,false
279,97705885,2020-07-12T00:00:00/2020-07-13T00:00:00,3.81324,43.5907,Point,MMM_EcoCompt_X2H20042632_202007120000,TrafficFlowObserved,bicycle,false
175,97705885,2020-07-13T00:00:00/2020-07-14T00:00:00,3.81324,43.5907,Point,MMM_EcoCompt_X2H20042632_202007130000,TrafficFlowObserved,bicycle,false
362,97705885,2020-07-14T00:00:00/2020-07-15T00:00:00,3.81324,43.5907,Point,MMM_EcoCompt_X2H20042632_202007140000,TrafficFlowObserved,bicycle,false
179,97705885,2020-07-15T00:00:00/2020-07-16T00:00:00,3.81324,43.5907,Point,MMM_EcoCompt_X2H20042632_202007150000,TrafficFlowObserved,bicycle,false
290,97705885,2020-07-16T00:00:00/2020-07-17T00:00:00,3.81324,43.5907,Point,MMM_EcoCompt_X2H20042632_202007160000,TrafficFlowObserved,bicycle,false
222,97705885,2020-07-17T00:00:00/2020-07-18T00:00:00,3.81324,43.5907,Point,MMM_EcoCompt_X2H20042632_202007170000,TrafficFlowObserved,bicycle,false
243,97705885,2020-07-18T00:00:00/2020-07-19T00:00:00,3.81324,43.5907,Point,MMM_EcoCompt_X2H20042632_202007180000,TrafficFlowObserved,bicycle,false
361,97705885,2020-07-19T00:00:00/2020-07-20T00:00:00,3.81324,43.5907,Point,MMM_EcoCompt_X2H20042632_202007190000,TrafficFlowObserved,bicycle,false
236,97705885,2020-07-20T00:00:00/2020-07-21T00:00:00,3.81324,43.5907,Point,MMM_EcoCompt_X2H20042632_202007200000,TrafficFlowObserved,bicycle,false
271,97705885,2020-07-21T00:00:00/2020-07-22T00:00:00,3.81324,43.5907,Point,MMM_EcoCompt_X2H20042632_202007210000,TrafficFlowObserved,bicycle,false
