intensity,laneId,dateObserved,location/coordinates/0,location/coordinates/1,location/type,id,type,vehicleType,reversedLane
1,105575465,2020-07-07T00:00:00/2020-07-08T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063163_202007070000,TrafficFlowObserved,bicycle,false
926,105575465,2020-07-08T00:00:00/2020-07-09T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063163_202007080000,TrafficFlowObserved,bicycle,false
922,105575465,2020-07-09T00:00:00/2020-07-10T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063163_202007090000,TrafficFlowObserved,bicycle,false
834,105575465,2020-07-10T00:00:00/2020-07-11T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063163_202007100000,TrafficFlowObserved,bicycle,false
510,105575465,2020-07-11T00:00:00/2020-07-12T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063163_202007110000,TrafficFlowObserved,bicycle,false
471,105575465,2020-07-12T00:00:00/2020-07-13T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063163_202007120000,TrafficFlowObserved,bicycle,false
632,105575465,2020-07-13T00:00:00/2020-07-14T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063163_202007130000,TrafficFlowObserved,bicycle,false
480,105575465,2020-07-14T00:00:00/2020-07-15T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063163_202007140000,TrafficFlowObserved,bicycle,false
831,105575465,2020-07-15T00:00:00/2020-07-16T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063163_202007150000,TrafficFlowObserved,bicycle,false
865,105575465,2020-07-16T00:00:00/2020-07-17T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063163_202007160000,TrafficFlowObserved,bicycle,false
868,105575465,2020-07-17T00:00:00/2020-07-18T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063163_202007170000,TrafficFlowObserved,bicycle,false
532,105575465,2020-07-18T00:00:00/2020-07-19T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063163_202007180000,TrafficFlowObserved,bicycle,false
502,105575465,2020-07-19T00:00:00/2020-07-20T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063163_202007190000,TrafficFlowObserved,bicycle,false
810,105575465,2020-07-20T00:00:00/2020-07-21T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063163_202007200000,TrafficFlowObserved,bicycle,false
971,105575465,2020-07-21T00:00:00/2020-07-22T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063163_202007210000,TrafficFlowObserved,bicycle,false
943,105575465,2020-07-22T00:00:00/2020-07-23T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063163_202007220000,TrafficFlowObserved,bicycle,false
715,105575465,2020-07-23T00:00:00/2020-07-24T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063163_202007230000,TrafficFlowObserved,bicycle,false
787,105575465,2020-07-24T00:00:00/2020-07-25T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063163_202007240000,TrafficFlowObserved,bicycle,false
447,105575465,2020-07-25T00:00:00/2020-07-26T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063163_202007250000,TrafficFlowObserved,bicycle,false
