intensity,laneId,dateObserved,location/coordinates/0,location/coordinates/1,location/type,id,type,vehicleType,reversedLane
662,137058167,2020-06-19T00:00:00/2020-06-20T00:00:00,3.93324,43.57883,Point,MMM_EcoCompt_X2H20042635_202006190000,TrafficFlowObserved,bicycle,false
1000,137058167,2020-06-20T00:00:00/2020-06-21T00:00:00,3.93324,43.57883,Point,MMM_EcoCompt_X2H20042635_202006200000,TrafficFlowObserved,bicycle,false
716,137058167,2020-06-21T00:00:00/2020-06-22T00:00:00,3.93324,43.57883,Point,MMM_EcoCompt_X2H20042635_202006210000,TrafficFlowObserved,bicycle,false
571,137058167,2020-06-22T00:00:00/2020-06-23T00:00:00,3.93324,43.57883,Point,MMM_EcoCompt_X2H20042635_202006220000,TrafficFlowObserved,bicycle,false
699,137058167,2020-06-23T00:00:00/2020-06-24T00:00:00,3.93324,43.57883,Point,MMM_EcoCompt_X2H20042635_202006230000,TrafficFlowObserved,bicycle,false
763,137058167,2020-06-24T00:00:00/2020-06-25T00:00:00,3.93324,43.57883,Point,MMM_EcoCompt_X2H20042635_202006240000,TrafficFlowObserved,bicycle,false
748,137058167,2020-06-25T00:00:00/2020-06-26T00:00:00,3.93324,43.57883,Point,MMM_EcoCompt_X2H20042635_202006250000,TrafficFlowObserved,bicycle,false
668,137058167,2020-06-26T00:00:00/2020-06-27T00:00:00,3.93324,43.57883,Point,MMM_EcoCompt_X2H20042635_202006260000,TrafficFlowObserved,bicycle,false
636,137058167,2020-06-27T00:00:00/2020-06-28T00:00:00,3.93324,43.57883,Point,MMM_EcoCompt_X2H20042635_202006270000,TrafficFlowObserved,bicycle,false
752,137058167,2020-06-28T00:00:00/2020-06-29T00:00:00,3.93324,43.57883,Point,MMM_EcoCompt_X2H20042635_202006280000,TrafficFlowObserved,bicycle,false
591,137058167,2020-06-29T00:00:00/2020-06-30T00:00:00,3.93324,43.57883,Point,MMM_EcoCompt_X2H20042635_202006290000,TrafficFlowObserved,bicycle,false
709,137058167,2020-06-30T00:00:00/2020-07-01T00:00:00,3.93324,43.57883,Point,MMM_EcoCompt_X2H20042635_202006300000,TrafficFlowObserved,bicycle,false
603,137058167,2020-07-01T00:00:00/2020-07-02T00:00:00,3.93324,43.57883,Point,MMM_EcoCompt_X2H20042635_202007010000,TrafficFlowObserved,bicycle,false
607,137058167,2020-07-02T00:00:00/2020-07-03T00:00:00,3.93324,43.57883,Point,MMM_EcoCompt_X2H20042635_202007020000,TrafficFlowObserved,bicycle,false
549,137058167,2020-07-03T00:00:00/2020-07-04T00:00:00,3.93324,43.57883,Point,MMM_EcoCompt_X2H20042635_202007030000,TrafficFlowObserved,bicycle,false
688,137058167,2020-07-04T00:00:00/2020-07-05T00:00:00,3.93324,43.57883,Point,MMM_EcoCompt_X2H20042635_202007040000,TrafficFlowObserved,bicycle,false
686,137058167,2020-07-05T00:00:00/2020-07-06T00:00:00,3.93324,43.57883,Point,MMM_EcoCompt_X2H20042635_202007050000,TrafficFlowObserved,bicycle,false
629,137058167,2020-07-06T00:00:00/2020-07-07T00:00:00,3.93324,43.57883,Point,MMM_EcoCompt_X2H20042635_202007060000,TrafficFlowObserved,bicycle,false
685,137058167,2020-07-07T00:00:00/2020-07-08T00:00:00,3.93324,43.57883,Point,MMM_EcoCompt_X2H20042635_202007070000,TrafficFlowObserved,bicycle,false
633,137058167,2020-07-08T00:00:00/2020-07-09T00:00:00,3.93324,43.57883,Point,MMM_EcoCompt_X2H20042635_202007080000,TrafficFlowObserved,bicycle,false
652,137058167,2020-07-09T00:00:00/2020-07-10T00:00:00,3.93324,43.57883,Point,MMM_EcoCompt_X2H20042635_202007090000,TrafficFlowObserved,bicycle,false
574,137058167,2020-07-10T00:00:00/2020-07-11T00:00:00,3.93324,43.57883,Point,MMM_EcoCompt_X2H20042635_202007100000,TrafficFlowObserved,bicycle,false
